????	???	ISBN	???	???	???	????
0000001	A755/2	7537805385	??:????	??? ???	???????	1991-5
0000002	A84-44/2	9787301057223	????????????	???,?????	???????	2002
0000003	B821-49/3	9787213061431	??????????	????	???????	2014
0000004	B94-64/2	9787806866108	??	??	???????	2008
0000005	B248.99/2	9787554001608	???? ????	???,???	???????	2013
0000006	B804/2	9789881836335	????	???	????	2009
0000007	B222.2-49/1:1	9787802196759	????????	???	?????????	2010-03
0000008	B222.2-49/1:2	9787101053982	??«??»??	???	????	2006
0000009	B222.2-49/1:2	9787101053982	??«??»??	???	????	2006
0000010	B222.2-49/1:2	9787101053982	??«??»??	???	????	2006
0000011	B968/2	722700824X	???????	???	???????	1993
0000012	B969/2	7227006276	???????	????	???????	1993
0000013	B821-49/2	9787802004115	???????? The way we think: Chinese view of life philosophy	????;???[?]??	???????	2009
0000014	B821-49/2	9787802004115	???????? The way we think: Chinese view of life philosophy	????;???[?]??	???????	2009
0000015	B2/1:1	9787119027197	AN OUTLINE HISTORY OF CHINESE PHILOSOPHY 1	XIAO JIEFU AND LI JINQUAN	?????	
0000016	B2/1:2	9787119027197	AN OUTLINE HISTORY OF CHINESE PHILOSOPHY 2		?????	2008
0000017	B94/1:1	9789620848803	?????????	????	??????????	
0000018	B94/1:2	9789620848810	????	????	??????????	
0000019	B94/1:3	9789620848827	????????	??	??????????	
0000020	B94/1:4	9789620848834	????????	??	??????????	
0000021	B94/1:5	9789620848841	?????????	???	??????????	
0000022	B94/1:6	9789620848858	????????	??	??????????	
0000023	B94/1:7	9789620848865	?????????	??	??????????	
0000024	B94/1:8	9789620848872	?????	??	??????????	
0000025	B94/1:9	9789620848889	?????	???	??????????	
0000026	B94/1:10	9789620848896	????	????	??????????	
0000027	B94-61/2	9787119037868	??????	???,????	?????	2005
0000028	B91-53/2	9787802281394	????	???,(?)??·??(Luis Palau)?	??????	2006
0000029	B91-53/2	9787802281394	????	???,(?)??·??(Luis Palau)?	??????	2006
0000030	B91-53/3	9787802281448	Riverside Talks(????)	???,(?)???	??????	2006.9
0000031	B91-53/3	9787802281448	Riverside Talks(????)	???,(?)???	??????	2006.9
0000032	B979.2/2	72141003	?????????????	???	?????	1982
0000033	B222.22/2	9783902735324	????? Konfuzius sagte	???,??		2013
0000034	H195.4/154	9787513596442	HSK??????????	?????	??????????	2017.12
0000035	C832-54/2:1	9787503718083	??????1995	??????	???????	1995
0000036	C832-54/2:2	9787503723087	??????1996	??????	???????	1996
0000037	C832-54/2:3	9787503724725	??????1997		???????	
0000038	C832-54/2:4	9787503727757	??????1998	??????	???????	1998
0000039	C832-54/2:5	9787503729201	??????.1999	??????	???????	1999
0000040	C832-54/2:6	9787503731785	??????.2000	??????	???????	2000
0000041	C832-54/2:7	9787503734878	??????-2001	?????????????	???????	2001
0000042	C924.25/1:1	7503710934	??1990????????1?		???????	
0000043	C924.25/1:2	7503710934	??1990????????2?		???????	
0000044	C924.25/1:3	7503710934	??1990????????3?			
0000045	C924.25/1:4	7503710934	??1990????????4?			
0000046	C924.25/2	4006072	??1982???????		???????	
0000047	C912.52/2	3116443	???????	??? ??? ??? ??	???????	
0000048	C955.2/2	3049119	????? ???	?????????	?????	
0000049	C913/2	7220022670	?????	???	???????	1993.12
0000050	C91/2	7201000209	?????	????????	????	1984
0000051	C924.24/2	7501705135	?????????????	???	???????	1989
0000052	C81/2	4006117	??????1986	????? ?	???????	198608
0000053	C3/2	3118267	???????(??)	???	???????	1985
0000054	C91-61/2	172141043	??????		?????	
0000055	C912.5/2	7105005238	??????	????	?????	1989.5
0000056	C912.1-49/2	9787213061424	???????	???,??	???????	2014
0000057	C924.2/1:2	7501410119	???????????1992??		?????	1993
0000058	C912.4/2	9781843698005	Wagging the Dragon's Tail: Emerging Practices in Participatory Poverty Reduction in China			
0000059	C924.24/3	1722311200220	?????????China's Population: Problems and Prospects	??,??	??????	1981
0000060	C832-54/2:8	4006041	??????.1984		???????	
0000061	C924.24/4	O835122654	A Study of China's Population	Li Chengrui	Foreign Languages Press	
0000062	C924.24/4	O835122654	A Study of China's Population	Li Chengrui	Foreign Languages Press	
0000063	D62/2:1	7805555427	??????(1978-1991)?????????	???	?????	
0000064	D619.513/2	9787508515908	DAS WUNDER VON PUDONG????:??	ZHAO QIZHENG MIT SHAO YUDONG	???????	2009
0000065	D619.513/2	9787508515908	DAS WUNDER VON PUDONG????:??	ZHAO QIZHENG MIT SHAO YUDONG	???????	2009
0000066	D619.513/2	9787508515908	DAS WUNDER VON PUDONG????:??	ZHAO QIZHENG MIT SHAO YUDONG	???????	2009
0000067	D619.513/2	9787508515908	DAS WUNDER VON PUDONG????:??	ZHAO QIZHENG MIT SHAO YUDONG	???????	2009
0000068	D619/3	9787508516196	CHINA EIN ENORMER WANDEL1978-2008	WU XIAOBO	???????	2009
0000069	D619/3	9787508516196	CHINA EIN ENORMER WANDEL1978-2008	WU XIAOBO	???????	2009
0000070	D619/3	9787508516196	CHINA EIN ENORMER WANDEL1978-2008	WU XIAOBO	???????	2009
0000071	D619/3	9787508516196	CHINA EIN ENORMER WANDEL1978-2008	WU XIAOBO	???????	2009
0000072	D619/3	9787508516196	CHINA EIN ENORMER WANDEL1978-2008	WU XIAOBO	???????	2009
0000073	D619/3	9787508516196	CHINA EIN ENORMER WANDEL1978-2008	WU XIAOBO	???????	2009
0000074	D619/3	9787508516196	CHINA EIN ENORMER WANDEL1978-2008	WU XIAOBO	???????	2009
0000075	D625/2	9787213035081	????	????	???????	2007
0000076	D625/2	9787213035081	????	????	???????	2007
0000077	D0/2	7220013876	?????	???	???????	
0000078	D61/2:1	9787214012845	????	(?)???·R·??(James R.Townsend),(?)????·???(Brantly Womack)?	????	1994
0000079	D922.5/2	606749	????		?????	
0000080	D669.3-49/2	9787508515892	????CHINESISCHE DINGE	???	???????	2008
0000081	D669.3-49/2	9787508515892	????CHINESISCHE DINGE	???	???????	2008
0000082	D669.3-49/2	9787508515892	????CHINESISCHE DINGE	???	???????	2008
0000083	D669.3-49/3	9787508512808	CHINESE STUFF	???	???????	2008
0000084	D669.3-49/3	9787508512808	CHINESE STUFF	???	???????	2008
0000085	D669.3-49/3	9787508512808	CHINESE STUFF	???	???????	2008
0000086	D671/2	3424008559	PEKING MENSCHEN???	zhang xinxin/sang ye		
0000087	D676.1/2	9787544302463	??????	???	?????	2002
0000088	D669.3/2	0140039481	families of fengsheng urban life in china	ruth sidel	penguin books	
0000089	D609.9/2	1705014800180	LIVING IN CHINA BY TWENTY AUTHORS FROM ABROAD		NEW WORLD PRESS	1979
0000090	D442/2	3825829847	Frauen-Los!?politische partizipation von frauen in ostasien	thomas heberer;kerstin katharina vogel		
0000091	D609.9/3	1005074800800	travels in china1966-71????	??·??	??????	
0000092	D261.1/2	9787503522512	“????”????	?????	?????????	2001
0000093	D648/2	9787501152308	????????	?????	?????	2001
0000094	D632/1:2	9787119017334	?????????	???,???	?????	1994
0000095	D632/1:2	9787119017334	?????????	???,???	?????	1994
0000096	D676.58/2	9789622099715	??????	???,???,???	???????	
0000097	D61-44/2	9787119050379	CHINA QUESTIONS AND AND ANSWERS???????	???,??,?????	?????	2007
0000098	D669.68/1:2	9789628958252	????·?????????	??	?????	2007
0000099	D669.5/2	9789620764547	???????·????	??,???,???	(?)?????	2010
0000100	D669-53/1:2	9787213044281	????	????	???????	2011
0000101	D669-53/1:3	9787213047763	?????	????	???????	2012
0000102	D669/2	9783701102792	????China-Forum2011&2012	Daniela unger-ullmann, wenli zhang		
0000103	D601/1:2	9787213027499	??:????	????	???????	2004
0000104	D616/3	9787213053061	?????????	????	???????	2013
0000105	D616/3	9787213053061	?????????	????	???????	2013
0000106	D61/3	9787213047565	??2020	???	???????	2012
0000107	D61/3	9787213047565	??2020	???	???????	2012
0000108	D61/3	9787213047565	??2020	???	???????	2012
0000109	D616/2	9787119090238	XI JINPING:THE GOVERNANCE OF CHINA	???	?????	2014
0000110	D616/4	9787119090863	????????	???	?????	2014
0000111	D616/5	9787119090269	XI JINPING:CHINA REGIEREN	???	?????	2014
0000112	D616/5	9787119090269	XI JINPING:CHINA REGIEREN	???	?????	2014
0000113	D616/5	9787119090269	XI JINPING:CHINA REGIEREN	???	?????	2014
0000114	D616/5	9787119090269	XI JINPING:CHINA REGIEREN	???	?????	2014
0000115	D616/5	9787119090269	XI JINPING:CHINA REGIEREN	???	?????	2014
0000116	D669.1/2	9780791413722	GENDER AND SEXUALITY IN TWENTIETH-CENTURY CHINESE LITERATURE AND SOCIETY	TONGLIN LU	STATE UNIVERSITY OF NEW YORK PRESS	
0000117	D220/2	0835122018	documents of the thirteenth national congress of the communist party of China(1987)?????????????????		?????	1987
0000118	D412.6/1:2	3007460	??????????		???????	
0000119	D442/3	9787301026540	????????	???	???????	1995
0000120	D921.95/2	7119014382	?????????????????		?????	
0000121	D668/3	7500413351	1992-1993???:?????????	??	?????????	1993
0000122	D668/4	9787801494245	2001?:???????????	?????	?????????	2001
0000123	D668/2:1	9787801496089	2002?:???????????	?????	?????????	2002
0000124	D668/2:2	9787801499431	2004?:???????????	?????	?????????	2004
0000125	D630.1/2	7562011974	???????	???	?????????	1994
0000126	D675.8/1:1	7207022611	?????——???????????	??	????????	1992
0000127	D432.62/2	7200019550	???????——?????????????	???????????“????????????”???	?????	1993
0000128	D922.49/2	6004728	????????????????		?????	1984
0000129	D663.9/2	7800871118	???????——?????????	??,???	???????	1993
0000130	D663.9/2	7800871118	???????——?????????	??,???	???????	1993
0000131	D619/2	9787119057712	CHINA FAKTEN UND ZAHLEN 2009??:?????	???	?????	
0000132	D671-64/2	9783831020539	das moderne china			
0000133	D669/5	9783869280097	Wie China Debattiert: Neue Essays Und Bilder Aus China	Mit Fotos u.a. von Michael Ende	Heinrich-Böll-Stiftung	
0000134	D669/3:1	0821322656	from barefoot doctor to village doctor in rural China	Willy de geyndt,xiyan zhao,shunli liu		
0000135	D633-66/1:2	9787105028320	????????1997		?????	
0000136	D61/4	9787508513850	???? China Encyclopedia	«????»???	???????	2008
0000137	D261/2	9787503521393	“????”????	?????	?????????	2000.05
0000138	D219/2	7800982823	?????????		???????	1998
0000139	D6/2	3889101682	??????????			
0000140	D633/2	7105005491	?????????	«?????????»???	?????	
0000141	D633/3	0835115305	QUESTIONS AND ANSWERS ABOUT ??????????CHINA'S NATIONAL MINORITIES	?????????????	NEW WORLD PRESS	1985
0000142	D622/2	30011920	??????			
0000143	D921/2	600196	?????????--????????????		?????	1978.3
0000144	D92/2	600193	?????????			
0000145	D921/3	605043	????????? DIE VERFASSUNG DER VOLKSREPUBLIK CHINA		?????	
0000146	D922.292.5/2	7800830179	??????????????????????	????????????	???????	1990.8
0000147	D922.29/2	7562000514	??????????	????????????????	?????????	1987
0000148	D442/4	30502681	chinese women in the fight for socialism?????????????	chi pen	?????	1977
0000149	D69/2	3050474	???????China's fight for grain	ANNA LOUISE STRONG	NEW WORLD PRESS	1963
0000150	D669/4:1	17733001	population & other problems	su wenming	?????	
0000151	D229/1:2	17733011	????:?????????the cream of younger China		????	
0000152	D229/1:3	17733163	????:???????????the 13th party congress & china's reforms		?????	1987
0000153	D62/3	17733039	CHINA UND DIE WELT???????		?????	
0000154	D609.9/4	394703774	communist China	franz schurmann and orville schell		
0000155	F120/2	9780262640640	THE CHINESE ECONOMY TRANSITIONS AND GROWTH	BARRY NAUGHTON	MIT PRESS	
0000156	F133.06/2	9789747100334	DEVELOPMENT OR DOMESTICATION?	Don McCaskill/Ken Kampe	SILKWORM BOOKS	1997
0000157	F12/2	780087110X	?????:?????????(1992-1993)	??,???	???????	1993
0000158	F323/2	7500413882	1992???????????????1993?????	???????????	?????????	1993
0000159	F12/3	780036609X	??????	???	???????	1992
0000160	F72/2	4090146	????????	???	???????	1985
0000161	F426.82/2	9787807158028	????	???	???????	2011
0000162	F832.59-53/2	9787213052408	??????A CRISIS OR A REBIRTH	????	???????	2013
0000163	F426.82/3	9781931907903	Salt in Ancient China????	jing hong	???????	2012
0000164	F299.2/2	9789881836342	????·????????	???	????	2009
0000165	F299.276.58/2	9789881921871	????	???	?????	2010
0000166	F72/3	9787508504544	????wegweiser für den china-handel	??	???????	2004
0000167	F123.3/2	9787213042195	????2015	?????-??????????,???,???	???????	2010
0000168	F272.91/2	9787800018817	?????——????????	???,???	???????	1997
0000169	F121-53/1:1	9787500419327	??????????	??	?????????	1997
0000170	F321.23/2	60502600020	?????????????model regulations for an advanced agricultural producers' co-operative		?????	1956
0000171	F41/2	7800050459	????????????????	??????????????	??????	1988
0000172	F325/2	170507400050	??????Bericht über Dungting - eine Volkskommune am Tai-See	??	?????	1975
0000173	F325/2	170507400050	??????Bericht über Dungting - eine Volkskommune am Tai-See	??	?????	1975
0000174	F127.51/2	7805114242	??????	????????	???????	1990
0000175	F276.3/2	750171309X	?????	???	???????	1991
0000176	F123.13/2	7501719578	??????????	???	???????	1992
0000177	F270/2	9787505819672	???	????	???????	2000
0000178	F121.23/2	7302004728	???????????	???	???????	1990
0000179	F121.23/3:1	7507501264	????????????	???,???	?????	1992
0000180	F203.9/2	7800254658	?????????	?????????????????	???????	1991
0000181	F729/2	7504401773	?????	???	???????	1988
0000182	F045/3	7800250571	????????????	???	???????	1988
0000183	F127/2	7105002018	??????????	?????????????	?????	1988
0000184	F89/2	7800871592	???????????	????	???????	1993.10
0000185	F12/4	7504410799	???????	???	???????	1992
0000186	F272.91-53/2	7502324593	?????????????	???,???	?????????	1995
0000187	F592.7/2	9789628884933	?????????(?)	???,???,???	?????????	2007
0000188	F832.1/2	9787119013411	Reforming China's Financial System	Gao Shangquan and Chi Fulin	?????	
0000189	F325.14-53/2	431265	????	??????????????	???????	
0000190	F14/2	7105005971	??????????????	???	?????	
0000191	F124/2	7105003022	????????????????	???	?????	198809
0000192	F121/2:1	17190071	?????????	«????»?????	?????????	
0000193	F121/2:2	17190033	???????????	«????»???????	?????????	1984
0000194	F121/4	7307026708	???????????????	???,???,??	???????	
0000195	F04/2	4263020	??????????	???,???	???????	
0000196	F715.1/2	4237118	???????????	???	???????	
0000197	F129.3/2	4144482	???????	?????	?????	
0000198	F046.1/2	4190120	?????	???	?????????	1982
